wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
Job,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Juli,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Junge,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Juni,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Kaffee,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Karte,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Kartoffel,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Kasse,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
kaufen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
kennen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
kennenlernen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Kilogramm,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Kilometer,"UD::Goethe::A1,UD::UniLeipzig::8","Duden gibt nur „der Meter“ an, aber im Textkorpus ist auch „das Meter“ zu finden",,,,
Kind,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Kindergarten,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Kino,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Kiosk,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Klasse,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Kleidung,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
kochen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Koffer,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Kollege,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Kollegin,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
kommen,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Konsequenz,UD::UniLeipzig::11,,the consequence,,,
Konto,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Kopf,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
kosten,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
können,"UD::Goethe::A1,UD::UniLeipzig::4",,,,,
Kreditkarte,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
kriegen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Kuchen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Kugelschreiber,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Kunde,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Kundin,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Kurs,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Küche,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Kühlschrank,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
kümmern,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
lachen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Laden,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Land,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Lastkraftwagen,"UD::Goethe::A1,UD::UniLeipzig::15",Siehe auch „Lkw“,,,,
laufen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Leben,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
leben,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Lebensmittel,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
legen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Lehrer,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Lehrerin,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
lernen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
lesen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Leute,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Licht,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
lieben,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Lied,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
liegen,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Liter,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Lkw,"UD::Goethe::A1,UD::UniLeipzig::10",Siehe auch „Lastkraftwagen“<br/>Alternative (nicht empfohlen): LKW,,,,
Lokal,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Lösung,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Mai,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Mann,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Maschine,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Mädchen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
